800025000010003|4518440797|575|2|30000000|8.40|0003500000073263|高伟的公司||20180601|20180701|20180904|0|2|3||13|||
1|5326|0003100000076664|2150000|
2|5328|0003100000076664|2150000|
3|5334|0003100000076664|2150000|
4|5346|0003100000076664|2150000|
5|5347|0003100000076664|2150000|
6|5348|0003100000076664|2150000|
7|5349|0003100000076664|2150000|
8|5353|0003100000076664|2150000|
9|5354|0003100000076664|2150000|
10|5356|0003100000076664|2150000|
11|5350|0003100000076646|2800000|
12|5351|0003100000076646|2800000|
13|5355|0003100000076646|2900000|
